title;instructor;schedule;courseno;room;teaching mode;lang;year;term
リベラルアーツ英語プログラム(Stream 1)：読解と論文作法;STAFF;NO DATA;ELA010;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 1)：読解と論文作法;STAFF;NO DATA;ELA010;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 2)：読解と論文作法;STAFF;NO DATA;ELA020;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 2)：アカデミック・スキル;STAFF;NO DATA;ELA022;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 3)：読解と論文作法;STAFF;NO DATA;ELA030;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 3)：精読と英文構成法;STAFF;NO DATA;ELA031;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 3)：アカデミック・スキル;STAFF;NO DATA;ELA032;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 4)：読解と論文作法;STAFF;NO DATA;ELA040;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 4)：精読と英文構成法;STAFF;NO DATA;ELA041;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム(Stream 4)：アカデミック・スキル;STAFF;NO DATA;ELA042;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム：論文作成;STAFF;3/M,4/TU,3/W,3/F;ELA060;NO DATA;Face to Face;E;2024;Spring
リベラルアーツ英語プログラム：論文作成;STAFF;NO DATA;ELA060;NO DATA;Face to Face;E;2024;Spring
日本語J1;KANAYAMA, Yasuko/HIRAKI, Megumi/UGAMOCHI, Ayako;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP011;I-161,I-162;Face to Face;J;2024;Spring
日本語J2;SAKURAGI, Tomomi/MIURA, Ayano;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP012;SH-N301;Face to Face;J;2024;Spring
日本語J3;SHIBUKAWA, Aki/ASHIKI, Ayako/KUBO, Kazumi;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP013;SH-N305,SH-N306;Face to Face;J;2024;Spring
日本語J4;SAKATA, Reiko/NISHINO, Ai/KISHIDA, Rie/SUZUKI, Mieko;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP014;SH-W101,SH-W102;Face to Face;J;2024;Spring
日本語J5;FUJIMOTO, Kyoko/TAKEDA, Tomoko/YAMADA, Kyoko;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP015;SH-W103,SH-W104;Face to Face;J;2024;Spring
日本語J6;OSAKI-WATANABE, Kumiko/INOUE, Shoko/MASUDA, Rika;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP016;SH-W202,SH-W203;Face to Face;J;2024;Spring
日本語演習 A;FUJIMOTO, Kyoko/KUBO, Kazumi/INADA, Naoko;4/M,4/W,4/F;JLP025;SH-N306;Face to Face;J;2024;Spring
日本語J7-A;OZAWA, Ikumi/KUWANO, Sachiko/MIURA, Ayano;1/M,2/M,3/M;JLP028;I-209,I-231,I-232;Face to Face;J;2024;Spring
日本語J7-B;OZAWA, Ikumi/KONYA, Yosuke/KUWANO, Sachiko;1/TU,2/TU;JLP029;I-209,I-231,I-232;Face to Face;J;2024;Spring
日本語特別教育　漢字1;KANAYAMA, Yasuko;4/M;JLP071;SH-W101;Face to Face;J;2024;Spring
日本語特別教育　漢字2;SAKATA, Reiko;4/M;JLP072;SH-W102;Face to Face;J;2024;Spring
日本語特別教育　漢字3;OSAKI-WATANABE, Kumiko;4/M;JLP073;SH-E302;Face to Face;J;2024;Spring
日本語特別教育 2;SAKURAGI, Tomomi;1/W,2/W,3/W,1/F,2/F,3/F;JLP082;SH-N205;Face to Face;J;2024;Spring
日本語特別教育 3;NISHINO, Ai/INOUE, Shoko/KOMORI, Yuri;1/W,2/W,3/W,1/F,2/F,3/F;JLP083;I-131,I-132;Face to Face;J;2024;Spring
中級日本語学習者のための語彙・漢字1;KUWANO, Sachiko;4/M;JLP086;SH-W202;Face to Face;J;2024;Spring
中級日本語学習者のための語彙・漢字2;KAWAUCHI, Miwa;4/M;JLP087;SH-W203;Face to Face;J;2024;Spring
日本語特別教育：論文作成法;INADA, Naoko;4/M,5/M;JLP088;SH-E103;Face to Face;J;2024;Spring
特別日本語教育入門;TAKEDA, Tomoko;5/M;JLP089;SH-W205;Face to Face;J;2024;Spring
Ｘ：キリスト教概論;SAKON, Tomu;5/F,6/F,7/F;GEX001;T-270;Face to Face;J;2024;Spring
Ｈ１：美術の世界;ITO, Aki;3/TU,2/TH,3/TH;GEH002;SH-W205;Face to Face;J;2024;Spring
Ｈ１：音楽の世界;SATO, Nozomi;*4/TU,*4/TH;GEH013;SH-BT101;Face to Face;J;2024;Spring
Ｈ１：文学の世界（フランス文学）;CHIJIIWA, Yasuko;3/M,3/W,3/F;GEH023;SH-S302;Face to Face;J;2024;Spring
Ｈ１：文学の世界（日本文学）;SONOYAMA, Senri;*4/TU,*4/TH;GEH025;SH-S101;Face to Face;J;2024;Spring
Ｈ１：日本伝統芸能の世界;YASUHARA, Makoto;3/M,3/W,3/F;GEH026;T-270;Face to Face;J;2024;Spring
Ｈ１：哲学の世界;YAJIMA, Naoki;3/M,3/W,3/F;GEH031;SH-S102;Face to Face;J;2024;Spring
Ｈ２：言語教育;HANDA, Atsuko/FUJII, Akiko;3/M,3/W,3/F;GEH041;I-163;Face to Face;J;2024;Spring
Ｈ２：手話の世界;QUAY, Suzanne;3/TU,2/TH,3/TH;GEH044;T-270;Face to Face;E;2024;Spring
Ｈ１: 気候正義;RAVENSCROFT, Claire;*4/TU,*4/TH;GEH064;T-229;Face to Face;E;2024;Spring
Ｓ１：経済と経済学;KOO, Ja Seung;3/TU,2/TH,3/TH;GES001;SH-N102;Face to Face;E;2024;Spring
Ｓ１：国際関係の課題;TAKAMATSU, Kana;*4/TU,*4/TH;GES007;T-328;Face to Face;J;2024;Spring
Ｓ１：宗教と国際政治;SHANI, Giorgiandrea;3/TU,2/TH,3/TH;GES008;SH-E303;Face to Face;E;2024;Spring
Ｓ１：政治学（Ａ）;KOO, Yoojin;3/M,3/W,3/F;GES011;SH-E303;Face to Face;J;2024;Spring
Ｓ１：自由;MATSUDA, Hiromichi;5/M,6/M,7/M;GES020;T-328;Face to Face;J;2024;Spring
Ｓ１：社会と文化;ISHIO, Yoshito;3/TU,2/TH,3/TH;GES026;SH-E205;Face to Face;E;2024;Spring
Ｓ２：統計情報リテラシー;KANEKO, Takuya;3/M,3/W,3/F;GES039;SH-E302;Face to Face;J;2024;Spring
Ｓ２：サービス・ラーニング;KATO, Etsuko/KURONUMA, Atsuko;5/TH,6/TH,(7/TH,8/TH);GES046;T-229;Face to Face;J;2024;Spring
Ｓ２：メディアと記号;HONG,  Seung Min;*4/TU,*4/TH;GES051;SH-W203;Face to Face;E;2024;Spring
Ｓ２：文化翻訳の世界;CURRAN, Beverley F. M.;*4/TU,*4/TH;GES052;NO DATA;Online;E;2024;Spring
Ｓ２：言語記録と言語学;LEE, Seunghun;*4/TU,*4/TH;GES055;SH-N302;Face to Face;E;2024;Spring
