title;instructor;schedule;courseno;room;teaching mode;lang;year;term;credits;schedule_time
リベラルアーツ英語プログラム(Stream 1)：読解と論文作法;STAFF;NO DATA;ELA010;NO DATA;Face to Face;E;2025;Spring;3;NO DATA
リベラルアーツ英語プログラム(Stream 1)：読解と論文作法;STAFF;NO DATA;ELA010;NO DATA;Face to Face;E;2025;Spring;3;NO DATA
リベラルアーツ英語プログラム(Stream 2)：読解と論文作法;STAFF;NO DATA;ELA020;NO DATA;Face to Face;E;2025;Spring;6;NO DATA
リベラルアーツ英語プログラム(Stream 2)：アカデミック・スキル;STAFF;NO DATA;ELA022;NO DATA;Face to Face;E;2025;Spring;1;NO DATA
リベラルアーツ英語プログラム(Stream 3)：読解と論文作法;STAFF;NO DATA;ELA030;NO DATA;Face to Face;E;2025;Spring;9;NO DATA
リベラルアーツ英語プログラム(Stream 3)：精読と英文構成法;STAFF;NO DATA;ELA031;NO DATA;Face to Face;E;2025;Spring;6;NO DATA
リベラルアーツ英語プログラム(Stream 3)：アカデミック・スキル;STAFF;NO DATA;ELA032;NO DATA;Face to Face;E;2025;Spring;4;NO DATA
リベラルアーツ英語プログラム(Stream 4)：読解と論文作法;STAFF;NO DATA;ELA040;NO DATA;Face to Face;E;2025;Spring;9;NO DATA
リベラルアーツ英語プログラム(Stream 4)：精読と英文構成法;STAFF;NO DATA;ELA041;NO DATA;Face to Face;E;2025;Spring;9;NO DATA
リベラルアーツ英語プログラム(Stream 4)：アカデミック・スキル;STAFF;NO DATA;ELA042;NO DATA;Face to Face;E;2025;Spring;4;NO DATA
リベラルアーツ英語プログラム：論文作成;STAFF;3/M,5/TU,3/W,3/F;ELA060;NO DATA;Face to Face;E;2025;Spring;3;M/11:35-12:50,TU/15:25-16:40,W/11:35-12:50,F/11:35-12:50
リベラルアーツ英語プログラム：論文作成;STAFF;NO DATA;ELA060;NO DATA;Face to Face;E;2025;Spring;3;NO DATA
日本語J1;MIYAMOTO, Mayu/NOGUCHI, Fusae/SAITO, Satomi;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP011;NO DATA;Face to Face;J;2025;Spring;5;M/08:45-11:25,TU/08:45-11:25,W/08:45-12:50,F/08:45-12:50
日本語J2;MIURA, Ayano/ASHIKI, Ayako;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP012;NO DATA;Face to Face;J;2025;Spring;5;M/08:45-11:25,TU/08:45-11:25,W/08:45-12:50,F/08:45-12:50
日本語J3;KUBO, Kazumi/KITAGAWA, Yui/MASUDA, Rika;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP013;NO DATA;Face to Face;J;2025;Spring;5;M/08:45-11:25,TU/08:45-11:25,W/08:45-12:50,F/08:45-12:50
日本語J4;SAKATA, Reiko/KANAYAMA, Yasuko/KISHIDA, Rie/SUZUKI, Mieko;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP014;NO DATA;Face to Face;J;2025;Spring;5;M/08:45-11:25,TU/08:45-11:25,W/08:45-12:50,F/08:45-12:50
